regimen,param,delta,css_max,css_min,frac_in_window,in_window,rel_change_css_min,elasticity_css_min,rel_change_css_max
R1,A,-0.2,8.69980495247284,1.8346120757848539,0.7470632341914522,False,-0.2,1.0,-0.19999999999999996
R2,A,-0.2,6.2578097655918175,3.427607203120944,1.0,True,-0.2000000000000001,1.0000000000000004,-0.20000000000000004
R3,A,-0.2,15.034969703054681,0.43046100233104706,0.377405648587853,False,-0.19999999999999993,0.9999999999999996,-0.20000000000000004
R4,A,-0.2,6.524853714354631,1.3759590568386404,0.5951012246938265,False,-0.1999999999999999,0.9999999999999994,-0.1999999999999999
R1,A,-0.1,9.787280571531946,2.0639385852579606,0.8080479880029993,False,-0.1,1.0,-0.09999999999999991
R2,A,-0.1,7.040035986290795,3.8560581035110624,1.0,True,-0.10000000000000005,1.0000000000000004,-0.09999999999999996
R3,A,-0.1,16.914340915936517,0.4842686276224279,0.36890777305673583,False,-0.10000000000000002,1.0000000000000002,-0.10000000000000002
R4,A,-0.1,7.340460428648959,1.5479539389434704,0.6578355411147213,False,-0.09999999999999988,0.9999999999999988,-0.09999999999999995
R1,A,0.1,11.962231809650158,2.5225916042041745,0.9112721819545113,False,0.1000000000000002,1.000000000000002,0.10000000000000023
R2,A,0.1,8.60448842768875,4.712959904291299,1.0,True,0.10000000000000014,1.0000000000000013,0.10000000000000007
R3,A,0.1,20.67308334170019,0.5918838782051897,0.36065983504123966,False,0.10000000000000013,1.0000000000000013,0.10000000000000002
R4,A,0.1,8.971673857237617,1.8919437031531305,0.7630592351912022,False,0.10000000000000014,1.0000000000000013,0.10000000000000006
R1,A,0.2,13.049707428709262,2.751918113677281,0.7965508622844288,False,0.2,1.0,0.20000000000000012
R2,A,0.2,9.386714648387727,5.141410804681416,1.0,True,0.19999999999999987,0.9999999999999993,0.20000000000000004
R3,A,0.2,22.55245455458202,0.6456915034965706,0.35841039740064984,False,0.20000000000000004,1.0000000000000002,0.19999999999999984
R4,A,0.2,9.787280571531946,2.0639385852579606,0.8080479880029993,False,0.20000000000000015,1.0000000000000007,0.20000000000000012
R1,ka,-0.2,9.970005046809067,2.2930492362347143,0.8607848037990502,False,-9.41271451124083e-05,0.00047063572556204145,-0.08319737269740196
R2,ka,-0.2,7.283481522062538,4.262397400200716,1.0,True,-0.005160825588260216,0.02580412794130108,-0.0688778604795162
R3,ka,-0.2,17.118480253613562,0.5380762458529204,0.3744063984003999,False,-1.3122468035456776e-08,6.561234017728387e-08,-0.08913789163748993
R4,ka,-0.2,7.4775037851068,1.7197869271760358,0.7090727318170458,False,-9.412714511227921e-05,0.000470635725561396,-0.08319737269740207
R1,ka,-0.1,10.45769300729236,2.2932218861125255,0.8617845538615346,False,-1.8841528020927405e-05,0.00018841528020927404,-0.03835149735674423
R2,ka,-0.1,7.573714797020997,4.277150292093244,1.0,True,-0.0017175157763087143,0.017175157763087142,-0.031774364421929005
R3,ka,-0.1,18.0220559902973,0.5380762524976148,0.3684078980254936,False,-7.73485107220674e-10,7.73485107220674e-09,-0.04105927201778258
R4,ka,-0.1,7.84326975546927,1.7199164145843941,0.7115721069732567,False,-1.8841528020798307e-05,0.00018841528020798306,-0.03835149735674423
R1,ka,0.1,11.236323367685992,2.293275908552282,0.862784303924019,False,4.715469327697526e-06,4.715469327697526e-05,0.033248301916669526
R2,ka,0.1,8.038313612311947,4.2881849331583854,1.0,True,0.0008579581123199381,0.00857958112319938,0.027620066881562367
R3,ka,0.1,19.461935148329154,0.5380762529398773,0.3611597100724819,False,4.8447558438495665e-11,4.844755843849566e-10,0.03555566962665909
