regimen,label,dose_mg,tau_h,daily_dose_mg,css_max,css_min,css_avg,tmax_ss_h,ptf,accumulation,t90_h,frac_in_window,in_window
R1,500 mg q12h,500.0,12.0,1000.0,10.87475619059105,2.2932650947310673,6.333512386579055,1.809,1.3549339721896616,1.1532803247182768,13.691620665895881,0.8625343664083979,False
R2,250 mg q6h,250.0,6.0,1000.0,7.822262206989772,4.284509003901181,6.333512386579055,1.494,0.5585768191730738,1.5737267335078122,13.691620665895881,1.0,True
R3,1000 mg q24h,1000.0,24.0,1000.0,18.793712128818353,0.5380762529138088,6.333512386579055,1.938,2.882387332910078,1.0179822176305955,13.691620665895881,0.364158960259935,False
R4,375 mg q12h,375.0,12.0,750.0,8.156067142943288,1.7199488210483003,4.75013428993429,1.809,1.354933972189662,1.1532803247182768,13.691620665895881,0.7133216695826043,False
